SPY XLF IWM EEM QQQ VWO EFA FXI XLI TZA XLE SDS SLV FAZ GDX EWJ SPXU EWZ FAS TVIX USO GLD TBT UNG
304.88 29.7 158.07 43.16 200.0 42.7 67.66 42.25 81.25 40.45 58.6 27.29 16.0 30.96 26.3 59.25 23.06 43.88 85.05 85.3 11.88 138.27 26.78 22.05
305.63 29.69 158.5 42.77 200.79 42.31 67.62 41.95 81.36 40.13 58.36 27.16 15.7 30.97 26.05 59.22 22.9 42.39 85.16 81.9 11.99 137.39 26.64 22.05
305.05 29.61 158.2 42.46 200.53 42.08 67.53 41.3 81.4 40.39 58.03 27.27 15.75 30.95 26.06 59.08 23.03 42.98 85.04 81.4 11.89 137.06 26.91 20.83
305.69 29.65 158.25 42.19 201.1 41.76 67.56 40.94 81.39 40.36 57.73 27.16 15.72 31.1 26.4 59.2 22.91 42.16 84.84 79.6 11.87 137.43 26.72 20.73
305.79 29.46 157.57 41.87 201.15 41.49 67.32 40.39 81.05 40.82 57.48 27.13 15.83 31.26 26.56 59.0 22.86 41.78 84.4 80.2 11.96 137.98 26.39 21.06
306.23 29.52 157.52 41.9 200.99 41.47 67.13 40.28 81.31 40.9 57.33 27.07 15.9 30.85 26.81 58.74 22.78 41.86 85.4 78.3 11.91 138.56 25.86 20.83
308.45 29.6 158.34 42.23 202.47 41.75 67.56 40.37 81.9 40.28 57.77 26.68 15.85 30.55 26.55 59.09 22.27 42.39 86.21 71.2 12.08 138.21 25.95 21.03
308.68 29.66 157.94 42.16 202.63 41.74 67.64 40.5 81.59 40.64 57.07 26.63 15.92 30.33 27.01 59.13 22.23 41.59 86.77 70.8 11.9 138.62 25.83 20.1
308.59 29.72 158.53 42.25 202.93 41.89 67.55 40.91 81.52 40.2 56.22 26.68 16.02 30.01 27.04 58.95 22.26 41.38 87.91 72.4 11.57 138.69 25.42 19.75
307.44 29.58 157.93 42.06 201.71 41.73 67.12 40.68 80.88 40.55 56.79 26.87 16.04 30.34 27.15 58.77 22.52 41.35 87.06 73.9 11.9 138.76 24.9 20.06
306.95 29.55 157.15 41.97 201.26 41.78 67.03 40.62 80.85 41.2 57.72 26.94 15.99 30.76 26.63 58.83 22.65 42.14 85.55 74.1 12.2 138.0 25.18 20.18
307.63 29.77 157.64 41.97 201.39 41.7 67.22 40.56 81.27 40.83 57.53 26.83 15.9 30.47 26.57 58.87 22.5 42.53 86.62 69.6 12.11 137.74 25.14 20.73
310.01 29.96 160.99 42.39 203.78 42.08 67.76 41.23 81.85 38.25 57.59 26.44 15.78 29.82 26.02 59.27 21.97 42.08 88.37 63.3 12.11 137.08 24.99 19.83
310.72 29.93 161.1 42.27 204.17 41.91 67.72 41.33 82.09 38.17 57.06 26.32 15.99 29.49 26.59 59.17 21.83 41.48 89.35 61.2 12.19 137.74 24.72 19.44
312.1 30.05 162.23 42.32 205.59 42.04 67.9 41.29 82.01 37.41 57.2 26.09 15.84 29.1 26.47 59.29 21.56 41.48 90.61 60.4 12.14 137.01 24.86 19.2
310.94 30.0 161.18 41.65 204.66 41.53 67.42 40.18 81.63 38.16 56.63 26.29 15.92 29.28 26.89 58.73 21.82 41.85 90.0 62.5 11.62 137.86 24.93 17.83
308.3 29.81 159.6 41.64 202.56 41.54 67.07 40.19 80.29 39.29 56.63 26.74 15.8 30.14 26.98 58.61 22.34 42.44 87.29 68.7 11.67 137.79 25.63 17.96
306.23 29.39 159.1 41.43 200.97 41.38 66.83 39.96 79.42 39.63 55.78 27.12 16.05 30.77 27.57 58.84 22.81 42.49 85.5 77.24 11.76 139.11 24.56 18.68
308.12 29.67 160.19 41.74 201.99 41.74 67.44 40.12 79.72 38.81 56.62 26.76 15.76 30.21 27.29 59.5 22.37 42.97 87.02 70.19 12.19 138.92 25.05 18.51
308.68 29.81 160.35 41.92 202.39 41.96 67.31 40.14 79.74 38.72 56.35 26.68 15.85 29.84 27.43 59.26 22.26 43.37 88.08 68.28 12.19 139.0 25.29 18.52
311.5 30.21 162.22 42.17 204.56 42.12 67.92 40.48 80.71 37.37 57.43 26.2 15.48 29.11 26.78 59.94 21.69 44.05 90.26 63.65 12.32 137.62 25.59 18.03
310.52 30.14 161.92 42.0 203.63 41.96 67.57 40.29 80.4 37.62 57.36 26.35 15.5 29.29 26.73 59.61 21.88 43.94 89.82 70.15 12.33 137.58 25.44 17.3
310.17 30.15 162.02 42.15 203.46 42.05 67.6 40.45 80.3 37.54 57.47 26.43 15.57 29.46 26.94 59.58 21.95 43.76 89.2 70.13 12.39 137.97 25.48 17.37
311.05 30.08 161.97 42.77 204.54 42.61 67.95 41.2 80.81 37.57 57.38 26.28 15.75 29.62 27.51 59.71 21.77 44.26 88.55 67.32 12.3 138.92 25.07 17.22
313.73 30.66 163.36 43.51 206.06 43.19 68.41 41.99 81.52 36.57 58.44 25.84 15.85 28.67 27.47 59.86 21.21 45.13 91.53 59.99 12.37 138.43 25.89 17.92
313.92 30.55 162.73 43.49 206.74 43.14 68.88 41.81 81.31 37.05 57.99 25.79 15.84 28.74 27.52 60.01 21.18 45.02 91.39 54.76 12.49 139.05 25.28 17.68
316.08 30.66 163.88 43.86 208.82 43.51 69.62 42.34 81.27 36.3 58.77 25.43 15.91 28.34 27.2 60.29 20.74 45.47 92.58 52.14 12.59 139.04 25.77 18.03
316.15 30.78 164.7 44.26 208.94 43.83 69.22 42.88 81.19 35.8 58.81 25.43 15.88 28.27 26.97 60.16 20.75 45.44 92.88 51.16 12.72 139.01 25.81 17.79
316.17 30.65 165.02 44.5 209.1 44.07 69.13 43.0 80.85 35.49 59.03 25.43 15.9 28.35 27.26 59.92 20.73 46.1 92.59 52.2 12.74 139.02 26.23 17.53
317.46 30.64 165.73 44.52 210.4 44.1 69.13 42.91 81.07 35.16 59.01 25.23 15.94 28.14 27.29 59.86 20.48 46.45 93.37 49.86 12.78 139.38 26.17 17.6
318.86 30.68 165.97 44.61 211.25 44.14 69.18 43.08 81.44 35.0 59.58 25.0 16.04 27.99 26.94 59.82 20.16 46.16 93.87 50.61 12.63 139.52 26.08 17.84
319.34 30.61 166.3 44.67 211.81 44.22 69.29 43.04 82.11 34.75 60.19 24.94 16.28 28.25 27.77 59.77 20.12 46.6 93.0 51.13 12.7 139.95 26.2 17.17
319.35 30.68 166.68 44.57 211.92 44.18 69.22 43.12 81.78 34.51 60.16 24.95 16.58 28.08 28.66 59.53 20.13 46.56 93.4 50.3 12.77 141.27 26.05 17.02
321.05 30.85 166.68 44.89 213.79 44.55 69.52 43.55 81.97 34.52 60.14 24.7 16.73 27.68 29.08 59.69 19.83 47.59 94.78 50.04 12.89 142.38 25.91 17.49
320.97 30.77 165.86 45.07 213.61 44.61 69.64 43.71 81.9 35.04 59.89 24.7 16.58 27.72 28.87 59.58 19.84 47.21 94.69 52.17 12.91 142.33 25.85 17.34
319.2 30.68 165.44 44.77 212.21 44.36 69.12 43.49 81.52 35.29 59.7 24.98 16.74 27.96 29.49 59.05 20.19 47.2 93.69 55.85 12.89 142.63 26.04 16.9
319.98 30.78 165.67 44.87 212.61 44.47 69.44 43.63 81.47 35.13 60.04 24.86 16.68 27.72 29.28 59.24 20.02 47.45 94.64 51.32 12.81 142.9 26.54 16.86
322.97 31.08 165.78 45.78 216.16 45.53 70.14 44.88 83.01 35.11 60.58 24.41 16.81 27.25 29.35 59.86 19.49 48.41 96.25 47.33 12.81 143.95 25.98 16.47
320.53 30.75 165.13 44.93 214.18 44.72 69.27 43.91 82.85 35.59 60.4 24.74 16.84 27.75 29.17 59.2 19.92 47.99 94.52 51.88 13.18 145.86 25.15 16.39
321.75 30.73 165.35 44.82 215.56 44.64 69.54 44.12 82.88 35.37 60.87 24.61 16.94 27.74 29.22 59.41 19.7 47.25 94.57 50.75 13.16 147.39 25.44 16.59
320.84 30.53 164.8 44.79 215.53 44.62 69.35 44.01 82.71 35.74 60.71 24.74 17.17 28.25 29.5 59.51 19.89 47.22 92.77 50.3 13.13 147.97 25.7 16.62
322.55 30.73 165.31 45.05 217.15 44.82 69.55 43.98 82.99 35.39 59.71 24.49 16.93 27.68 28.35 59.52 19.57 47.01 94.72 48.25 12.66 146.86 26.02 16.63
324.74 30.92 165.51 45.35 218.99 45.05 69.71 44.38 83.34 35.29 60.15 24.16 16.72 27.12 28.04 59.94 19.19 46.65 96.57 44.96 12.49 146.03 25.87 16.67
323.81 30.69 164.89 45.59 218.43 45.27 69.45 44.52 82.75 35.77 59.81 24.3 16.89 27.42 28.45 59.52 19.35 46.27 95.55 44.5 12.41 146.91 25.43 17.04
326.03 30.9 165.96 46.3 220.95 45.89 69.81 45.28 83.43 35.08 59.83 23.96 16.78 26.73 27.77 59.86 18.95 46.67 98.12 42.16 12.2 145.82 25.6 16.94
325.54 30.84 166.57 46.04 220.08 45.68 69.88 44.82 83.44 34.65 59.84 24.05 16.62 26.92 28.26 59.88 19.05 46.82 97.12 41.52 12.28 145.69 25.34 16.85
326.27 30.67 167.37 45.68 220.17 45.39 69.88 44.57 83.57 34.2 59.4 23.94 16.81 26.89 28.79 59.66 18.93 45.75 97.35 41.24 12.18 146.54 24.99 16.43
328.99 30.94 169.53 45.97 222.28 45.62 70.17 44.9 84.4 32.83 59.5 23.55 16.77 26.17 28.67 59.7 18.49 45.88 99.95 39.3 12.29 146.31 25.15 16.08
330.01 31.03 169.07 46.23 223.38 45.91 70.38 45.11 84.41 33.17 59.12 23.4 16.82 25.87 28.42 59.74 18.26 46.76 101.22 39.36 12.33 146.58 25.57 15.54
329.36 30.77 167.67 45.06 223.28 44.77 69.82 42.99 83.48 33.99 58.06 23.5 16.64 26.07 28.95 59.42 18.4 45.67 100.34 40.04 12.24 146.74 25.05 14.87
329.4 30.86 167.56 45.43 223.87 45.04 69.96 43.47 83.04 34.04 57.5 23.49 16.66 25.92 28.84 59.69 18.37 46.51 100.81 40.4 11.9 146.79 24.87 14.91
329.78 30.78 167.45 44.96 224.59 44.63 69.79 42.91 83.94 34.08 57.28 23.45 16.61 25.91 28.66 59.76 18.31 47.06 101.01 40.2 11.66 147.12 24.54 14.94
326.85 30.39 165.39 44.6 222.7 44.29 69.49 42.35 83.55 35.42 56.62 23.87 16.91 26.69 29.22 59.53 18.83 46.49 98.03 44.75 11.43 147.98 24.13 14.61
321.61 29.92 163.51 43.06 218.1 42.8 68.05 40.67 81.97 36.59 55.05 24.65 16.89 27.79 29.08 58.46 19.72 44.75 94.07 53.9 11.1 148.99 23.4 14.64
324.98 30.27 164.87 43.42 221.45 43.16 68.69 40.95 82.5 35.69 55.3 24.13 16.32 26.96 28.31 58.98 19.12 45.77 96.62 48.0 11.25 147.66 23.77 14.9
324.71 30.22 163.93 43.63 221.81 43.36 68.7 41.2 82.94 36.28 54.72 24.17 16.41 27.03 28.86 58.79 19.17 44.96 96.44 47.8 11.16 148.46 23.28 14.66
325.76 30.6 163.93 42.98 222.6 42.77 68.64 40.69 83.03 36.32 55.16 24.01 16.68 26.24 28.73 58.71 18.98 44.81 99.15 46.57 11.08 148.47 23.28 14.31
319.85 29.96 160.53 42.11 219.07 42.01 67.48 39.74 81.11 38.53 53.44 24.9 16.82 27.86 28.99 57.75 20.01 43.76 93.08 56.58 10.84 149.33 22.88 14.37
322.23 30.17 162.32 42.58 222.38 42.31 67.64 40.13 81.08 37.32 52.74 24.51 16.5 27.23 28.56 58.19 19.59 44.43 95.28 52.74 10.49 148.36 22.89 14.21
327.14 30.46 164.77 43.68 227.47 43.32 68.77 41.21 82.61 35.64 52.93 23.77 16.45 26.25 28.05 59.07 18.69 44.72 98.55 47.14 10.44 146.43 23.55 14.65
330.91 31.07 167.31 43.93 228.22 43.56 69.43 41.35 83.99 34.0 54.92 23.23 16.46 25.36 28.05 59.6 18.04 44.99 101.95 43.36 10.7 146.61 24.04 14.63
332.03 31.03 166.93 43.97 230.19 43.54 69.62 41.63 84.26 34.23 54.36 23.08 16.63 25.36 28.4 60.05 17.88 44.17 101.97 42.5 10.74 147.4 23.82 14.56
330.26 30.92 164.88 43.36 229.2 42.95 68.96 41.26 83.65 35.5 53.98 23.32 16.54 25.6 27.93 59.47 18.15 43.38 100.99 43.65 10.58 147.79 23.26 14.45
332.72 31.01 165.81 43.6 231.97 43.22 69.1 41.5 84.12 34.86 53.71 22.98 16.61 25.16 28.39 59.4 17.75 42.99 102.68 42.78 10.42 148.17 23.1 13.84
333.3 31.12 166.96 44.17 232.01 43.77 69.57 42.3 84.44 34.19 54.31 22.91 16.48 24.9 28.43 59.7 17.66 43.91 103.79 42.6 10.5 147.66 23.36 14.03
335.45 31.14 168.11 44.77 234.27 44.33 69.81 42.87 85.23 33.49 55.04 22.61 16.33 24.72 28.12 59.41 17.33 44.11 104.43 38.56 10.81 147.54 23.57 14.42
335.09 31.13 168.55 44.18 233.97 43.86 69.32 42.31 84.75 33.21 54.87 22.67 16.46 24.48 28.32 58.89 17.39 43.67 105.6 40.0 10.84 148.38 23.41 14.32
335.63 31.17 167.9 44.2 234.64 43.77 69.2 42.27 84.64 33.61 54.58 22.6 16.56 24.16 28.31 58.45 17.32 43.86 107.04 39.14 10.95 149.0 23.21 14.34
334.76 30.9 167.54 43.91 234.73 43.62 68.76 42.18 84.16 33.81 54.13 22.72 17.01 24.5 29.23 57.58 17.45 43.32 105.45 40.35 10.95 150.91 22.9 15.1
336.36 31.13 168.4 44.23 236.98 43.98 68.99 42.47 84.13 33.32 54.85 22.5 17.23 24.23 29.75 57.48 17.19 43.91 106.51 39.25 11.18 151.79 22.89 15.28
334.98 31.07 168.81 43.54 234.78 43.38 68.58 42.02 84.01 33.08 54.79 22.7 17.14 24.16 29.75 57.11 17.42 42.84 106.95 41.73 11.28 152.41 22.55 14.91
331.53 30.77 167.1 43.29 230.27 43.22 68.26 42.02 83.59 34.12 54.14 23.16 17.28 24.81 30.65 56.63 17.96 42.46 104.06 46.8 11.16 154.7 22.13 14.8
320.54 29.77 162.07 41.67 221.39 41.7 65.53 40.53 81.21 37.25 51.64 24.73 17.4 27.03 31.05 54.72 19.75 40.34 94.89 64.14 10.74 156.09 21.44 14.36
310.82 28.76 156.31 41.34 215.37 41.37 64.45 40.14 77.9 41.08 49.36 26.2 16.71 29.92 29.97 54.63 21.54 39.77 84.79 76.43 10.4 153.3 21.2 14.28
309.68 28.55 154.5 41.67 216.48 41.63 64.53 40.72 77.31 42.49 47.87 26.42 16.68 30.64 29.87 54.9 21.77 39.2 82.57 73.07 10.19 153.97 21.44 14.09
295.77 27.33 149.06 40.67 205.64 40.63 62.62 40.41 74.44 47.09 45.31 28.8 16.47 34.7 28.15 53.02 24.74 37.78 71.84 97.05 9.78 154.0 21.0 13.47
294.53 26.59 146.33 40.52 205.8 40.52 62.24 40.66 73.08 49.0 45.27 29.09 15.53 36.79 26.22 52.96 25.14 38.36 67.36 104.5 9.45 148.38 20.05 13.1
307.28 27.95 151.03 41.4 216.42 41.3 63.04 41.08 75.65 44.9 47.1 26.52 15.56 31.41 27.29 53.63 21.77 39.39 77.17 96.9 9.92 149.2 20.37 13.58
298.48 26.9 147.95 41.12 209.48 41.1 62.53 40.82 73.8 47.76 45.66 27.97 16.02 34.25 28.68 52.94 23.67 38.49 70.32 119.32 9.89 153.89 19.73 13.93
311.03 27.79 152.16 41.85 218.22 41.68 64.4 41.26 76.85 43.64 46.74 25.69 16.09 30.72 29.13 54.09 20.65 38.78 77.57 105.85 9.86 154.16 20.2 14.19
300.69 26.45 147.32 40.97 211.59 40.88 62.69 41.08 73.09 47.86 45.03 27.4 16.3 34.31 29.82 53.11 22.74 36.66 68.42 139.39 9.61 157.49 19.23 13.65
295.72 25.55 144.4 40.13 208.02 40.11 61.75 40.26 72.45 50.69 42.5 28.29 16.18 37.07 29.41 52.6 23.84 35.1 62.89 169.9 8.73 157.55 17.14 13.32
272.63 22.81 130.36 37.39 193.57 37.12 56.96 38.64 65.77 65.42 33.94 32.79 15.88 47.97 27.31 49.92 29.5 29.79 45.01 254.38 6.52 157.81 16.06 14.1
286.73 24.15 134.43 39.29 204.11 38.99 59.06 40.17 69.18 59.56 35.55 29.41 15.73 39.5 27.49 51.41 25.02 32.81 52.51 216.86 7.24 154.48 17.38 14.97
272.76 22.84 125.88 37.46 195.22 37.3 56.05 38.8 65.12 70.98 33.67 32.25 15.63 45.96 25.17 49.67 28.65 29.68 43.84 270.73 6.94 153.93 17.67 14.54
246.66 20.37 111.97 33.71 177.32 33.55 49.89 35.8 58.38 95.1 29.47 38.55 14.62 59.88 22.31 44.8 36.99 24.74 31.69 397.89 6.54 147.79 18.21 14.2
267.75 23.05 119.47 36.14 192.34 35.9 52.91 37.8 62.94 74.58 32.19 31.51 13.69 40.03 19.0 46.27 26.91 29.1 40.74 335.4 6.96 143.28 17.92 14.75
238.45 19.89 103.62 31.63 169.3 31.56 47.45 33.91 55.8 105.52 27.81 38.63 12.0 56.19 22.49 43.22 35.7 22.38 24.86 591.25 6.05 141.64 16.69 13.92
251.32 20.97 108.37 33.81 182.14 33.54 49.76 36.01 58.37 87.83 28.0 34.01 11.88 48.59 25.5 45.34 30.21 25.3 26.08 578.0 5.71 143.56 18.84 13.37
